subgraph_id,node_count,edge_count
Subgraph 1,3,3
Subgraph 2,3,3
Subgraph 3,3,3
Subgraph 4,3,3
Subgraph 5,3,3
Subgraph 6,3,3
Subgraph 7,3,3
Subgraph 8,3,3
Subgraph 9,3,3
Subgraph 10,3,3
Subgraph 11,3,3
Subgraph 12,3,3
Subgraph 13,3,3
Subgraph 14,3,3
Subgraph 15,3,3
Subgraph 16,3,3
Subgraph 17,3,3
Subgraph 18,3,3
Subgraph 19,3,3
Subgraph 20,3,3
Subgraph 21,3,3
Subgraph 22,3,3
Subgraph 23,3,3
Subgraph 24,3,3
Subgraph 25,3,3
Subgraph 26,3,3
Subgraph 27,3,3
Subgraph 28,3,3
Subgraph 29,3,3
Subgraph 30,3,3
Subgraph 31,3,3
Subgraph 32,3,3
Subgraph 33,3,3
Subgraph 34,3,3
Subgraph 35,3,3
Subgraph 36,3,3
Subgraph 37,3,3
Subgraph 38,3,3
Subgraph 39,3,3
Subgraph 40,3,3
Subgraph 41,3,3
Subgraph 42,3,3
Subgraph 43,3,3
Subgraph 44,3,3
Subgraph 45,3,3
Subgraph 46,3,3
Subgraph 47,3,3
Subgraph 48,3,3
Subgraph 49,3,3
Subgraph 50,3,3
Subgraph 51,3,3
Subgraph 52,3,3
Subgraph 53,3,3
Subgraph 54,3,3
Subgraph 55,3,3
Subgraph 56,3,3
Subgraph 57,3,3
Subgraph 58,3,3
Subgraph 59,3,3
Subgraph 60,3,3
Subgraph 61,3,3
Subgraph 62,3,3
Subgraph 63,3,3
Subgraph 64,3,3
Subgraph 65,3,3
Subgraph 66,3,3
Subgraph 67,3,3
Subgraph 68,3,3
Subgraph 69,3,3
Subgraph 70,3,3
Subgraph 71,3,3
Subgraph 72,3,3
Subgraph 73,3,3
Subgraph 74,3,3
Subgraph 75,3,3
Subgraph 76,3,3
Subgraph 77,3,3
Subgraph 78,3,3
Subgraph 79,3,3
Subgraph 80,3,3
Subgraph 81,3,3
Subgraph 82,3,3
Subgraph 83,3,3
Subgraph 84,3,3
Subgraph 85,3,3
Subgraph 86,3,3
Subgraph 87,3,3
Subgraph 88,3,3
Subgraph 89,3,3
Subgraph 90,3,3
Subgraph 91,3,3
Subgraph 92,3,3
Subgraph 93,3,3
Subgraph 94,3,3
Subgraph 95,3,3
Subgraph 96,3,3
Subgraph 97,3,3
Subgraph 98,3,3
Subgraph 99,3,3
Subgraph 100,3,3
Subgraph 101,3,3
Subgraph 102,3,3
Subgraph 103,3,3
Subgraph 104,3,3
Subgraph 105,3,3
Subgraph 106,3,3
Subgraph 107,3,3
Subgraph 108,3,3
Subgraph 109,3,3
Subgraph 110,3,3
Subgraph 111,3,3
Subgraph 112,3,3
Subgraph 113,3,3
Subgraph 114,3,3
Subgraph 115,3,3
Subgraph 116,3,3
Subgraph 117,3,3
Subgraph 118,3,3
Subgraph 119,3,3
Subgraph 120,3,3
Subgraph 121,3,3
Subgraph 122,3,3
Subgraph 123,3,3
Subgraph 124,3,3
Subgraph 125,3,3
Subgraph 126,3,3
Subgraph 127,3,3
Subgraph 128,3,3
Subgraph 129,3,3
Subgraph 130,3,3
Subgraph 131,3,3
Subgraph 132,3,3
Subgraph 133,3,3
Subgraph 134,3,3
Subgraph 135,3,3
Subgraph 136,3,3
Subgraph 137,3,3
Subgraph 138,3,3
Subgraph 139,3,3
Subgraph 140,3,3
Subgraph 141,3,3
Subgraph 142,3,3
Subgraph 143,3,3
Subgraph 144,3,3
Subgraph 145,3,3
Subgraph 146,3,3
Subgraph 147,3,3
Subgraph 148,3,3
Subgraph 149,3,3
Subgraph 150,3,3
Subgraph 151,3,3
Subgraph 152,3,3
Subgraph 153,3,3
Subgraph 154,3,3
Subgraph 155,3,3
Subgraph 156,3,3
Subgraph 157,3,3
Subgraph 158,3,3
Subgraph 159,3,3
Subgraph 160,3,3
Subgraph 161,3,3
Subgraph 162,3,3
Subgraph 163,3,3
Subgraph 164,3,3
Subgraph 165,3,3
Subgraph 166,3,3
Subgraph 167,3,3
Subgraph 168,3,3
Subgraph 169,3,3
Subgraph 170,3,3
Subgraph 171,3,3
Subgraph 172,3,3
Subgraph 173,3,3
Subgraph 174,3,3
Subgraph 175,3,3
Subgraph 176,3,3
Subgraph 177,3,3
Subgraph 178,3,3
Subgraph 179,3,3
Subgraph 180,3,3
Subgraph 181,3,3
Subgraph 182,3,3
Subgraph 183,3,3
Subgraph 184,3,3
Subgraph 185,3,3
Subgraph 186,3,3
Subgraph 187,3,3
Subgraph 188,3,3
Subgraph 189,3,3
Subgraph 190,3,3
Subgraph 191,3,3
