Title,Content
Progress in The Food System Means Empowering Eaters—Today and for Generations to Come,"spend lot time think citizen eater . citizen eater engag food system , activ push polici forward , focus build polici everyon nourish access afford health food . mani local food system win ’ track food tank made possibl thank tireless advoc work commun live . one exampl , let ’ highlight citi atlanta—wher ’ next week summit sunday , april 14 , start 1:30pm , partnership emori univers spelman colleg consult cdc foundat , support biden-harri administr nation strategi hunger , nutrit , health . pleas feel free forward messag network atlanta ! ’ unforgett afternoon . , mani leader organ work hard support local food produc food economi , provid educ resourc agricultur train , and—at heart all—mak sure neighbor nourish . open hand atlanta , exampl , deliv meal free charg folk atlanta around state goal elimin diet-rel chronic ill , oper teach kitchen offer nutrit support . mariposa rebeld focus build access ecolog commun garden queer folk , groceri spot exemplifi sustain , community-first model nonprofit groceri store . mani inspir organ work across atlanta , hope ’ read full list . mani citizen eater , step changemak ! acr ancestri initi black agrarian fund work restor land ownership boost food fiber economi across south connect peopl financi resourc black belt justic center—and traci lloyd mccurti , center ’ execut director , summit . wholesom wave georgia work increas access nutriti food option help folk enrol assist programs—and seller , execut director , summit . save legaci ourself , solo , work uplift heirloom crop preserv heritag saltwat geeche people—and mauric bailey , organ ’ presid , summit . divers dietet foster collabor build divers field nutritionist dietitians—and co-found execut director , tamara melton , rdn , summit . mani amaz food system leader , farmer , research , scientist , journalist , lawmak , food bank leader , other join us empow eater summit next sunday , april 14 . hope ’ join us , . event complet free open public , whether in-person via livestream ! pleas click secur spot event . ’ partial list speaker , definit ’ want miss : mauric bailey , solo ; fedel bauccio , bon appétit manag compani ; ravi bellamkonda , emori univers ; kelliann blazek , special assist presid agricultur rural polici ; care cotwright , usda ; andr dicken , mayor , citi atlanta ( via video ) ; rachel ferencik , cdc foundat ; dian harri , center diseas control ; dr. nik heynen , univers georgia ; kevin holt , h & h hospit ; dr. kimberli jackson , spelman colleg ; steven jen , ahold delhaiz usa ; sabrina li , emori univers ; traci lloyd mccurti , black belt justic center ; u.s. congresswoman luci mcbath ( ga-07 ) ; mcinte , white hous ; beth mckibben , roughdraft atlanta ; tamara s. melton , diversifi dietet ; alastair pullen , atlanta neighborhood charter school ; karuna rawal , natur ’ fynd ; tambra ray stevenson , women advanc nutrit dietet agricultur ( wanda ) ; rose scott , npr-atlanta ; pamela scott-johnson , spelman colleg ; kashi sehgal , rataaza ; seller , wholesom wave georgia ; arthur tripp , usda farm servic agenc ; kyle waid , atlanta commun food bank ; raphaela ysrael , atlanta harvest , mani ! info . also breakout session , discuss inform polici report submit directli white hous , amaz recept food beverag partner . mention : progress food system come empow eater , today gener come . idea core discuss summit around food land justic , healthier school food , food medicin , procur busi solut , student best practic , much . ’ registr link , know ’ join us . look forward see next weekend ! , alway , inbox daniel @ foodtank.com open food tanker around world—send question concern mind , let ’ keep convers go . one last note : ’ amaz food movement everi citi world mani amaz project learn ! week , highlight fantast 20 organ around atlanta , includ acr ancestri initiative/black agrarian fund ; atlanta commun food bank ; commun farmer market ( cfm ) ; divers dietet ; friend urban food forest brown mill ; food well allianc ; georgia foundat agricultur ; georgia organ ; give kitchen ; global grower network ( ggn ) ; mariposa rebeld ; open hand atlanta ; recoveri eco agricultur project ; save legaci ourself ( solo ) ; slow food atlanta ; common market ; groceri spot ; truli live well center natur urban agricultur ( tlw ) ; umi feed ; wholesom wave georgia . hope ’ read mani best practic replic model atlanta . time , hope ’ find organ carri best practic commun ! ’ take local organ granted—it alway case citi thrive food network , let ’ celebr empow eater ! articl like one read made possibl generos food tank member . pleas count part grow movement ? becom member today click ."
El Valle de Guadalupe Under Threat: The Campaign to Save Mexico’s Wine Country,"el vall de guadalup , one mexico ’ prolif wine agricultur region , recent come threat due increas urban econom develop area . respons , winemak , chef , commun member launch rescatemo el vall , campaign preserv valley . el vall de guadalup area ensenada municip baja california , mexico . region contribut three quarter countri ’ total wine product , accord paper wine econom polici . wine-rel tourism bring us $ 180 million annual revenu baja california . 2014 2019 , 18 percent agricultur wine region el vall de guadalup lost urban develop , member rescatemo el vall report . land subdivid sold construct privat home , busi , concert venu . municip institut research plan ( imip ) ensenada expect less half 5,445 arabl hectar exist 2017 remain 2027 . urban halt , imip predict region ceas known “ wine countri ” 2037 . virtual press confer , member rescatemo el valle–includ presid baja california state council vine produc fernando pérez castro winemak natalia badan–emphas impact deforest land . “ gener term , uncontrol growth human settlement identifi main caus problem vall de guadalup , ” spokesperson said , “ result direct effect water , soil agricultur , commun , landscape. ” 2010 , sector program urban-tour develop wine valley ( psdut ) creat conserv 95 percent agricultur land next 30 year . offici consid plan failur replac updat version reduc declar area conserv . rescatemo el vall , howerev , want regul . call creation feder agenc protect agricultur biocultur heritag land . campaign also propos name el vall de guadalup “ zone natur cultur beauty. ” “ campaign emphas import agricultur land use , ” ileana espejel , campaign member professor ecosystem manag universidad autonoma de baja california , tell food tank . “ 9 percent soil baja california suitabl agricultur . yield inch valuabl land , even use produc alcohol beverag . beverag greatli increas state ’ incom put ensenada world map. ” espejel team prepar region plan order land use law el vall de guadalup sinc 1990 . espejel say see valley “ transdisciplinari laboratori ” differ member commun , vari background expertis , unit advoc land . espejel say campaign help restrict concert valley , end illeg construct , support project updat aquif data build green infrastructur summer . member rescatemo el vall hope concret immedi action protect nation heritag use exampl save agricultur area countri . “ citi built mani place , ” espejel tell food tank , “ lose fertil soil unforgivable. ” articl like one read made possibl generos food tank member . pleas count part grow movement ? becom member today click ."
‘Leak of corporate data’: Cyber-attack hits Pak Suzuki Motor Company,"pak suzuki motor compani ( psmc ) said corpor data “ leak ” due cyber-attack . compani share develop notic pakistan stock exchang ( psx ) monday . “ april 9 , 2024 came know corpor data leak due cyber-attack , ” read notic . “ initi investig suggest data relat hr , financi , etc. , server port public ip ( internet protocol ) , ” said . “ onboard secur consult detail forens assess elimin potenti secur threat entir infrastructur , ” psmc said . automak share detail find conclud complet assess . cyber attack assault launch cybercrimin use one comput singl multipl comput network . cyber attack malici disabl comput , steal data , use breach comput launch point attack . back februari , sharehold psmc resolv authoris smc ( suzuki motor corpor ) , parent compani , repurchas 22,145,760 ordinari share 62.84 % sharehold buyback price rs 609 per share determin voluntari delist committe ( vdc ) psx . major sharehold requir purchas least 13,915,775 ordinari share ( 62.84 % ) total 22,145,760 ordinari share outstand sharehold major sharehold , qualifi delist approv vdc psx . januari , smc decid purchas share psmc buy-back price rs609 per share , 50 % higher sponsor ’ origin offer rs406 per share made decemb . last year octob , psmc formal announc voluntari delist bours , cite sever factor includ pak suzuki ’ loss , lack dividend , cheap valuat psx ."
Two types of entrepreneurship: The Freelancer and the Entrepreneur,"two type entrepreneurship : freelanc entrepreneur | tijmen rümke | mediumopen appsign upsign inwritesign upsign intwo type entrepreneurship : freelanc entrepreneurknow one allow see busi model strategi right youtijmen rümke·follow10 min read·jul 4 , 2018 -- 5listensharew talk entrepreneurship differ compani peopl start run . ’ broad definit . know whether advic convent wisdom appli busi , help make distinction.ther two main categori entrepreneurship oper differ . differ busi model . valuabl work differ . ( 1 ) freelanc ( 2 ) entrepreneur.now , run busi , act entrepreneuri employe . , main focu work busi model entir different.not : heavili borrow distinct seth godin , great job explain differ akimbo-episod , excerpt masterclass gave . ad mani differ sourc experience.th freelancerth freelanc get paid work . ’ outsourc work someon els show up.sh ’ ask deliv servic . servic custom client exact need . everi time different.sh brand compani . compani hire . ’ uniqu make other choos . uniqu craftsmanship , experi , track record , etc.sh ’ hire set hand need instruct . ’ advisor . expert . ’ need , ’ decid solv that.sh ’ everyon . also ’ need . need absolut best . possibl even one . time , need accept rest absolut dislik ’ incred them.they often run compani one . expand hire help . though , , employe duplic brand . freelanc still one hired.they ’ busi moment find first client . gener , cost low revenu income.but importantli , main job work . great uniqu work . everyth els , like administr , market , hire , servic great work.exampl : archetyp freelanc : logo design , travel photograph , video product , consult , painter , etc . sell custom services/product project basis.th agenc : consult firm , design agenc , architectur firm , etc . howev mani peopl work , work still sold virtu partner firm.th quick hit : coach , masseus , jewelri repair , workshop facilit , etc . usual sell product servic short time-slots.th interimm : interim event manag , chang manag , etc . sell larg chunk time . say , 2 day week 3 month . ( side note : employe could technic also seen ‘ freelanc ’ , albeit bit differ fee-structur . ’ someon paid work , person brand entrepreneuri career . , cours , ’ take risk gener enough work ’ get freedom work see fit . ) ( side note 2 : bewar interimm , must make sure paid like temp employe . still take risk work . ’ also respons gear , payment day , educ , insur , pension . ) entrepreneurth entrepreneur get paid compani run sell enough product . one make deliv product.cli ’ necessarili want entrepreneur deliv product . want thing compani make . sinc entrepreneur involv actual make everi singl product , need standard . need meet ‘ spec ’ .the compani brand . stand someth . make promis product need fulfil . uniqu ‘ machin ’ built . entrepreneur download vision compani translat valu , cultur , mantra , archetyp processes/rules.th work taught rel quickli . work complic concoct differ expertis , brought togeth entrepreneur . organ , entrepreneur creat product solv problem.sometim compani one . often , entrepreneur hire peopl “ actual ” work.h make profit margin product sell . other work ; revenu higher cost ; profit . often take time invest build machin point gener money . ’ often loan ventur capit involved.hi main job grow compani . involv tell stori compani find client teach other work download vision compani . involv littl none actual work.exampl rang far wide . : classic physic product : pizza coffe shop , jewelri cloth line , event space hotel , car manufactur , etc.outsourc galor : simpl product , design , autom sell , purchas assembl shipping.resel : supermarket , plant store , amazon.standard servic compani : event like festiv confer , temporari employ agencies.digit : softwar , app , data set , ebook , onlin cours , etc.but about… exampleslet ’ exampl illustr differ . note peopl differ endeavor . mayb one subsid . perhap one easi add-on . ’ fine . either part busi run differ mode operandi.a musician sell music albums/stream spotifi entrepreneur . sell gig play event freelanc . put concert sell ticket also freelanc product servic . ’ show up.a bookkeep sell servic tax freelanc . guy behind jortt entrepreneur run do-it-yourself bookkeep softwar . booki also entrepreneurship . even though sell time specialist , ’ one founder necessarili work.creat custom art piec like paint freelanc . get paid servic make . creat line jewelri creat product line ’ produc en mass ? ’ entrepreneurship.mi train freelanc : get custom time . festiv confer gener entrepreneurship . get blurri massiv train like toni robbin ’ date destini . even though ’ bigger alon ( mani coach involv ) , ’ show . ’ ‘ show ’ . , also teach ‘ toni robbin method ’ coach . ’ entrepreneurship.a masseus sell time freelanc . need brand uniqu stand . chain masseus parlor run entrepreneur sell standard servic . brand know expect walk in.th red flagsth freelanc work best uniqu add substanti valu . use small size advantag even specific.th entrepreneur work best custom actual desir standard way teach employe . standard allow scale.it get tricki navig close edg comfort zone natur type entrepreneurship . red flag awar of.a hard busi model : time expensivea freelanc creat everi singl physic product sell ( custom jewelri , ceram , paint , etc . ) convinc custom price worth . look goe product , might expens . sure quickli add lot money . especi sell consum . incred difficult.th solut faster effici product . effect , sure , ’ never out-machin machine.instead water brand , way high-end . lean uniqu tast , skill stori ; strive masteri craft ; find custom valu . produc custom art , build brand , expand product line brand drape design ’ hand-produce.charg premium ordinaryan entrepreneur need awar ’ special machin ’ built . work especi unique.a pitfal machin effici enough price high cover cost time end need charg like special work . , actual , run busi work could standard . put risk copi undercut someon ’ figur effici cheaper . extrem exampl amazon move busi . simpl someon els ’ realli commit connect client peopl ’ taught work.you either make work uniqu , build uniqu “ product machineri ” . , understand well peopl buy . someth extraordinarili well ? , well put togeth , conveni experi get use product ? stretch thinon way freelanc grow part work project done peopl hire . ’ work well everi type work . work best work larg portion work face face ’ requir absolut best craft . ’ ’ difficult trainer coach ; natur consult design.in ideal situat , find peopl simpler part project ( part complementari skillset ) spend time complex strateg element project realli requir attent . time , spend time get new clients.what ’ employe run entir project . , tricki thing hire new peopl ’ alway less qualifi ( ’ expens ) . mean ) client base still expect complex part project , b ) spend lot time teach . , ’ less commit ( ’ shop ) . , pinch , still end fix yourself.it ’ balanc act . ’ still hire work ; complex work . becom overwhelm ánd spend time teach , ánd end simpl work , ánd run compani peopl first time , ánd find enough work.a prudent approach start outsourc part project keep , thu learn teach well . first freelanc . hire someon perman size work allow work project basis.forget make specialdesign agenc consult firm run freelanc busi . get work client trust partners/th principl firm . sake growth , ’ tempt forget . “ sure , too. ” mistak entrepreneur , ’ standard servic dilut brand.forget make special make vulner copi . ’ need decid high-end specialist , junior designers/consult support . teacher , effect get inexperienc cheap ( er ) employe rel good work ( like ‘ simpl ’ account firm ) .when , got good start ’ help make next hump.an entrepreneur might get good start merit person brand , goodwil network . , ’ hard scale sell peopl buy connect . , product compani need stand two feet.th process sell , produc deliv need independ . thu , entrepreneur need download vision compani . success cloth brand does.th trick find peopl ( servic ) better individu element weav togeth posit busi case . bottleneck teach let go . keep , slower busi grows.how knowsom question ask want figur one are.do get paid ’ work ? product servic everi time ? custom base client ? uniqu approach ? someth experi journey life help way no-on els ? teachabl someon els ? peopl come , product ? would custom mind ’ show work ? main job ? work grow compani ? need choos : work would love ? want work , solv problem , creat solut ? want connect client way solv need ’ design grown ? thank read ! hope help . , clap along share articl realli help other find . would much appreci ! subscrib medium want follow write.a calcul hourli rateoften experi best teacher . sometim , tool help prevent unnecessari mistak . like nifti calcul help calcul hourli rate ! show revenu need secur monthli net incom desir . calcul need hourli rate . soon ’ even compar rate peer ! download freelanc hourli rate calcul see ! freelancingentrepreneurshipbusi modelsworkentrepreneur -- -- 5followwritten tijmen rümke357 followersempow creativ gain clariti purpos get busi savvi . trainer podcast host day , know-it-al night . www.studiogeorge.nlfollowhelpstatusaboutcareersblogprivacytermstext speechteam"
Multiplicity of taxes heavily burdening industrial sector,"islamabad : nineteen twenti differ feder provinci tax current levi industri sector/manufactur unit , increas cost busi pakistan . senior offici feder board revenu ( fbr ) told busi record multipl tax feder provinci level creat seriou problem industri sector countri . claim manufactur sector share gross domest product ( gdp ) 20 percent yet contribut tax 60 percent . in-depth research reveal except corpor incom tax , remain federal/ provinci tax indirect tax collect sale tax mode - tax pass onto consum therebi contribut inflat . industri sector slam sbp keep polici rate unchag accord estim , contribut corpor incom tax total tax collect nearli 35.87 percent . three type corpor tax applic manufactur industri sector manufacturer/ industri unit pay highest three corpor tax : ( ) 29 percent corpor incom tax normal profit ; ( ii ) 17 percent altern corpor tax ( act ) gross profit ; ( iii ) 1.25 percent minimum tax turnov payabl certain categori manufactur . offici told correspond practic 90 percent corpor entiti pay turnov tax . detail tax applic manufacturing/ industri sector includ super tax ( 1 10 percent ) applic incom rs 150 million rs 400 million . howev , newli elect financ minist recent state favour super tax though decis may make regard would part financ bill next year . standard rate 18 percent sale tax applic manufactur sector “ sale tax ” rate 4 percent applic case suppli made manufactur un-regist . manufacturing/ industri unit also act withhold agent per fbr declar compens given , increas cost busi . withhold tax chargeabl electr consumpt : event monthli electr bill industri consum exce rs20,000 rate withhold tax would rs 1950 plu 5 % amount exceed rs . 20,000 . five percent withhold tax applic payment good , servic contract . addit , sale tax levi rate 18 percent electr ga bill manufacturers/ industri unit . fbr also levi custom duti , withhold tax sale tax import raw materi input consum manufactur finish product . feder excis duti ( fed ) paid certain categori manufactur -cigarett , beverag , locally-manufactur vehicl non-essenti item . sale tax section 8b sale tax act also payabl industri allow adjust input tax excess 90 per cent output tax particular tax period . remain 10 percent sale tax paid entiti . manufacturers/ industri unit also bound obtain provinci sale tax registr pay provinci sale tax ( 13 percent 15 percent per rate levi provinc ) servic requir pay worker welfar fund ( wwf ) / worker particip fund ( wpf ) / eobi . social secur old age-rel payment , well , provinci local tax includ properti tax , stamp duti zila tax . infrastructur cess ( 1.20 1.25 percent ) also provinci tax charg total valu good . provincial/ local tax includ municip corpor tax , profession tax , labour levi employe ’ social secur . small medium enterpris ( sme ) , defin one engag manufactur good whose busi turnov tax year exceed rs 250 million , classifi follow two categori , tax taxabl incom requir comput follow rate : ( ) ; category-i : 7.5 % taxabl incom , annual busi turnov exceed rs 100 million . ( ii ) ; category-ii : 15 % taxabl incom , annual busi turnov exce rs 100 million exceed rs 250 million . sme also opt tax final tax regim ( ftr ) , option requir exercis time file return , irrevoc three tax year . sme opt tax ftr shall subject tax audit . category-wis rate tax ftr : ( ) category-i : 0.25 % gross turnov , annual busi turnov exceed rs 100 million . ( ii ) category-ii : 0.5 % gross turnov , annual busi turnov exce rs 100 million exceed pkr 250 million . minimum tax turnov appli sme . copyright busi record , 2024"
Saudi FM-led delegation arrives in Pakistan,"high-level saudi deleg , led foreign minist princ faisal bin farhan bin abdullah , arriv pakistan monday , aaj new report . earlier statement foreign offic state deleg would includ saudi minist water agricultur , engin abdul rahman abdul mohsen al-fadley , minist industri miner resourc , bandar ibrahim alkhorayef , deputi minist invest , badr albadr , head saudi special committe , mohammad mazi al towaijri , senior offici ministri energi saudi fund gener invest . “ visit take place essenti expedit follow understand reach prime minist muhammad shehbaz sharif hrh mohammad bin salman , crown princ prime minist kingdom saudi arabia recent meet makkah al mukarramah enhanc bilater econom cooper pakistan saudi arabia , ” fo said . saudi deleg expect hold meet presid , prime minist , foreign counterpart minist , coa , apex committe special invest facilit council ( sifc ) , ad . pm shehbaz sharif met crown princ last week discuss expedit plan $ 5 billion invest packag , cash-strap pakistan desper need shore current account deficit signal intern monetari fund continu meet requir foreign financ key demand previou bailout packag . saudi invest $ 1 billion expect made next month chagai district balochistan 's reko diq copper gold project . prime minist shehbaz sharif form committe includ stakehold ensur smooth complet saudi invest . pakistan saudi arabia sign agreement mine invest invest . pakistan late also tri secur saudi invest industri rang agricultur mine , miner aviat ."
Oil tanker 'mafia': PM Shehbaz again pushes for renewable energy generation,"prime minist shehbaz sharif direct relev author utilis resourc power gener renew energi sourc . pm , seen push renew energi sever time , made remark address high-level meet review progress power sector project monday . meet attend variou minist offici repres power sector . “ ultim , need move toward renew energi , ” said , term crude oil tanker compani “ mafia ” “ parasit eat wealth countri ” . “ moment , control crude oil import use transport bring electr transport infrastructur . howev , oil import power gener curb divert renew energi , long term benefit countri , ” said . renew energi plant set public sector oil compani : ‘ concret plan ’ sought pmo prime minist appreci punjab govern take concret step control power theft across provinc . “ common knowledg govern strive reduc electr theft , come know lot progress made punjab , provinc would expectedli follow suit , ” said . “ electr transmiss system remain dilapid , ” pm shehbaz admit . “ matter much invest done power sector , transmiss system remain ineffect , invest would go drain , ” said . moreov , pm shehbaz direct relev author hire ‘ world-class ’ consult address issu power sector . prime minist also direct relev author develop mechan util surplu electr . said recent spell rain good omen would help boost hydropow gener ."
Rupee registers marginal decline against US dollar,"pakistani rupe regist margin declin , depreci 0.06 % us dollar inter-bank market monday . close , local unit settl 278.12 , loss re0.18 greenback , per state bank pakistan ( sbp ) . two-sess previou week , rupe remain larg stabl us dollar . local unit close tuesday 277.94 , 277.93 close week earlier greenback . key develop , pakistan ’ econom team led financ minist muhammad aurangzeb left washington sunday hold talk intern monetari fund ( imf ) new bailout programm . talk pakistan imf schedul week washington , wherein govern team request fund approv new loan programm . main ministeri meet event held april 17-19 . global , us dollar steadi monday , hold biggest weekli gain sinc 2022 , escal conflict middl east prospect stubbornli high us interest rate gave support . dollar went 1.6 % basket six major currenc last week small unnerv upsid surpris us inflat cast doubt bet us rate cut , european policymak signal cut within month . dollar made 34-year high yen , rise 153.69 . made five-month top euro friday trade near level earli asia day , buy euro $ 1.0646 . initi reaction currenc seem base reced feder reserv rate cut expect weekend retaliatori attack israel iran , caus stock market , bitcoin oil drop . oil price , key indic currenc pariti , slip 1 % monday , market downplay risk broader region conflagr iran ’ weekend attack israel . brent futur june deliveri fell 99 cent , 1 % , $ 89.46 barrel 0933 gmt west texa intermedi ( wti ) futur may deliveri $ 1.05 , 1.2 % , $ 84.61 . oil benchmark risen friday anticip iran ’ retaliatori attack , price touch highest sinc octob . inter-bank market rate dollar monday bid rs 278.12 offer rs 278.32 open-market movement open market , pkr lost 18 paisa buy 29 paisa sell usd , close 277.00 279.66 , respect . euro , pkr gain 4.85 paisa buy 4.64 paisa sell , close 293.99 296.83 , respect . uae dirham , pkr lost 14 paisa buy 13 paisa sell , close 75.29 76.00 , respect . saudi riyal , pkr lost 14 paisa buy 11 paisa sell , close 73.27 73.94 , respect . open-market rate dollar monday bid rs 277.00 offer rs 279.66"
The quest for a rule-based economy,"eid holiday simpl graph viral depict secular declin pakistan ’ econom growth sinc 1990 rel india , fifteen year roll basi . frequenc low growth phase grow . meanwhil , durat econom recoveri cycl shrink shorter period . anem econom growth biggest challeng countri , domin young grow popul . way thing today , poverti rise middl class thin . exact opposit happen neighbor india . one see vibranc middl class ooz india size crowd stadia ipl match , stark opposit ( lack ) enthusiasm crowd recent psl fixtur pakistan . good thing realiz long-term econom mess countri sink . polit pressur grow youth voter media exert pressur power focu econom reviv sustain basi . young popul want econom prosper secur . pursuit turn pakistan citadel islam need temper larg pinch realiti . howev , youth frustrat lose hope due action power , diverg ground realiti . still focus bandag approach . idea keep economi afloat current , albeit fail , model base support friendli countri intern financi institut ( imf , wb , etc . ) dodg tough reform time . vibe come us saudi arabia may allow countri default would keep afloat ensur enough balanc payment support bilater inject next imf programm . comfort news . howev , hand , give lifelin control helm continu statu quo . countri need rule-bas economi rule-bas system . right , one rule exist , i.e. , might right . invest sought umbrella sifc ( special invest facilit council ) , would ensur bypass hurdl nab ( nation account bureau ) court . rout sifc kosher rest must face hurdl . bureaucraci would shi away anyth come ambit sifc , fear nab like , otherwis . new rule investor knock sifc door ensur establish ’ cover , other may choos invest . miss rule-bas economi , economi treat invest opportun merit . countri dire need privat sector-l invest , ensur pakistan posit run healthi current account deficit fdi use build reserv . ’ econom model indian econom growth spur follow reform 1990 . broad-bas invest need stabil polit system , badli miss pakistan . ’ lack invest mine , agricultur inform technolog led countri ’ secular declin . addit above-ment factor , lack spend human develop anoth reason . countri badli need spend human develop – healthcar educ . prioriti correct long-term path . peopl skill set educ , innov . system appetit room entrepreneurship product financ , privat sector wonder mine , agricultur , inform technolog . time run short , next 3-5 year critic chang econom trajectori . economi progress downward trajectori . forecast next year grim . could lead deterior law order , polar , state writ focus select element . sustain , implod , thing put back correct path . copyright busi record , 2024"
"Petrol price hiked by Rs4.53, diesel’s by Rs8.14","islamabad : feder govern monday announc massiv rais price high speed diesel ( hsd ) rs 8.14 per litr petrol rs 4.53 per litr due higher fuel price intern , fortnight review petroleum product start april 16 , 2024 . despit declin import premium claim pakistan state oil ( pso ) hsd petrol well slightli improv exchang rate , higher intern brent oil price compel govern rais fuel price . impact middl east escal yet pass gener mass . price petrol hsd wit increas global $ 4 $ 4.50 per barrel last fortnight start april 1 . import premium petrol drop $ 10.7 per barrel compar $ 13.50 previou review petroleum product rupe strengthen 41 paisa us dollar rs278.20 . hsd price , intern market import premium paid pakistan state oil remain unchang $ 6.50 per barrel . sme bank may stay sifc seek reactiv plan petrol price went around $ 4 per barrel $ 98 last week hsd price went $ 4.50 per barrel $ 102 . new ex-depot price petrol fix rs 293.94 per litr hsd price rs 290.38 per litr . govern alreadi attain permiss limit rs60 per litr petroleum levi law petrol hsd . intern monetari fund assur collect rs 920 billion pl budgetari target rs 869 billion pl petroleum product current fiscal year 2024-25 . previou review petroleum product , govern increas price petrol rs9.66 per litr reduc hsd rs3.32 per litr . monday , oil tanker owner associ warn manag rawalpindi region address issu immedi otherwis would suspend suppli fuel airport , rawalpindi , islamabad , kashmir gilgit baltistan region . oil compani advisori committe also wrote letter special invest facil council warn smuggl petroleum product threaten $ 6 billion invest refineri . smuggl oil product iran govern patronag stop immedi , ocac state . iran ’ smuggl petroleum product caus huge financi loss 35.6 million dollar 10 billion rupe per month . march 25 , letter also written secretari petroleum issu , result . smuggl petroleum product stop , plan expans upgrad refineri becom unwork , ocac say . copyright busi record , 2024"
