Terms,co-occurrence_counts
spend - lot,3
spend - time,11
spend - think,1
spend - citizen,1
spend - eater,1
lot - spend,3
lot - time,3
lot - think,2
lot - citizen,1
lot - eater,1
lot - .,23
time - spend,11
time - lot,3
time - think,2
time - citizen,2
time - eater,1
time - .,67
think - spend,1
think - lot,2
think - time,2
think - citizen,2
think - eater,2
think - .,15
citizen - spend,1
citizen - lot,1
citizen - time,2
citizen - think,2
citizen - eater,5
citizen - .,3
citizen - citizen,2
citizen - engag,2
eater - spend,1
eater - lot,1
eater - time,1
eater - think,2
eater - citizen,5
eater - .,5
eater - eater,2
eater - engag,2
eater - food,4
. - lot,23
. - time,67
. - think,15
. - citizen,3
. - eater,5
. - engag,4
. - food,104
. - system,19
citizen - food,1
citizen - system,1
"citizen - ,",2
eater - system,2
"eater - ,",7
eater - activ,1
engag - citizen,2
engag - eater,2
engag - .,4
engag - food,1
engag - system,1
"engag - ,",9
engag - activ,1
engag - push,1
food - eater,4
food - .,104
food - citizen,1
food - engag,1
food - system,18
"food - ,",152
food - activ,1
food - push,1
food - polici,6
system - .,19
system - citizen,1
system - eater,2
system - engag,1
system - food,18
"system - ,",22
system - activ,1
system - push,1
system - polici,1
system - forward,1
", - citizen",2
", - eater",7
", - engag",9
", - food",152
", - system",22
", - activ",14
", - push",5
", - polici",16
", - forward",4
", - ,",1704
activ - eater,1
activ - engag,1
activ - food,1
activ - system,1
"activ - ,",14
activ - push,1
activ - polici,1
activ - forward,1
activ - focu,1
push - engag,1
push - food,1
push - system,1
"push - ,",5
push - activ,1
push - polici,1
push - forward,1
push - focu,1
push - build,1
polici - food,6
polici - system,1
"polici - ,",16
polici - activ,1
polici - push,1
polici - forward,2
polici - focu,2
polici - build,2
polici - polici,2
forward - system,1
"forward - ,",4
forward - activ,1
forward - push,1
forward - polici,2
forward - focu,1
forward - build,1
forward - everyon,1
", - focu",24
", - build",23
", - everyon",4
", - nourish",2
focu - activ,1
focu - push,1
focu - polici,2
focu - forward,1
"focu - ,",24
focu - build,2
focu - everyon,1
focu - nourish,1
focu - access,2
build - push,1
build - polici,2
build - forward,1
"build - ,",23
build - focu,2
build - everyon,1
build - nourish,1
build - access,2
build - afford,1
polici - everyon,1
polici - nourish,1
polici - access,1
polici - afford,1
polici - health,2
everyon - forward,1
"everyon - ,",4
everyon - focu,1
everyon - build,1
everyon - polici,1
everyon - nourish,1
everyon - access,1
everyon - afford,1
everyon - health,1
everyon - food,1
"nourish - ,",2
nourish - focu,1
nourish - build,1
nourish - polici,1
nourish - everyon,1
nourish - access,1
nourish - afford,1
nourish - health,1
nourish - food,1
nourish - .,2
access - focu,2
access - build,2
access - polici,1
access - everyon,1
access - nourish,1
access - afford,1
access - health,1
access - food,4
access - .,11
access - mani,1
afford - build,1
afford - polici,1
afford - everyon,1
afford - nourish,1
afford - access,1
afford - health,1
afford - food,3
afford - .,5
afford - mani,1
afford - local,1
health - polici,2
health - everyon,1
health - nourish,1
health - access,1
health - afford,1
health - food,4
health - .,9
health - mani,1
health - local,2
food - everyon,1
food - nourish,1
food - access,4
food - afford,3
food - health,4
food - mani,7
food - local,6
food - food,48
. - nourish,2
. - access,11
. - afford,5
. - health,9
. - mani,29
. - local,8
. - win,2
mani - access,1
mani - afford,1
mani - health,1
mani - food,7
mani - .,29
mani - local,1
mani - system,4
mani - win,1
mani - ’,13
local - afford,1
local - health,2
local - food,6
local - .,8
local - mani,1
local - system,1
local - win,1
local - ’,11
local - track,1
food - win,3
food - ’,24
food - track,2
system - mani,4
system - local,1
system - win,1
system - ’,1
system - track,1
system - tank,1
win - .,2
win - mani,1
win - local,1
win - food,3
win - system,1
win - ’,1
win - track,1
win - tank,1
win - made,1
’ - mani,13
’ - local,11
’ - food,24
’ - system,1
’ - win,1
’ - track,3
’ - tank,4
’ - made,12
’ - possibl,10
track - local,1
track - food,2
track - system,1
track - win,1
track - ’,3
track - tank,1
track - made,1
track - possibl,1
track - thank,1
food - tank,26
food - made,8
food - possibl,7
food - thank,1
food - tireless,1
tank - system,1
tank - win,1
tank - ’,4
tank - track,1
tank - food,26
tank - made,7
tank - possibl,7
tank - thank,1
tank - tireless,1
tank - advoc,1
made - win,1
made - ’,12
made - track,1
made - food,8
made - tank,7
made - possibl,7
made - thank,2
made - tireless,1
made - advoc,1
made - work,2
possibl - ’,10
possibl - track,1
possibl - food,7
possibl - tank,7
possibl - made,7
possibl - thank,1
possibl - tireless,1
possibl - advoc,1
possibl - work,1
possibl - commun,1
thank - track,1
thank - food,1
thank - tank,1
thank - made,2
thank - possibl,1
thank - tireless,1
thank - advoc,1
thank - work,1
thank - commun,1
thank - live,2
tireless - food,1
tireless - tank,1
tireless - made,1
tireless - possibl,1
tireless - thank,1
tireless - advoc,1
tireless - work,1
tireless - commun,1
tireless - live,1
tireless - .,1
advoc - tank,1
advoc - made,1
advoc - possibl,1
advoc - thank,1
advoc - tireless,1
advoc - work,1
advoc - commun,2
advoc - live,1
advoc - .,2
advoc - one,1
work - made,2
work - possibl,1
work - thank,1
work - tireless,1
work - advoc,1
work - commun,1
work - live,1
work - .,84
work - one,5
work - exampl,2
commun - possibl,1
commun - thank,1
commun - tireless,1
commun - advoc,2
commun - work,1
commun - live,1
commun - .,8
commun - one,1
commun - exampl,1
"commun - ,",25
live - thank,2
live - tireless,1
live - advoc,1
live - work,1
live - commun,1
live - .,11
live - one,3
live - exampl,1
"live - ,",26
live - let,1
. - tireless,1
. - advoc,2
. - work,84
. - commun,8
. - live,11
. - one,82
. - exampl,26
". - ,",1184
. - let,28
. - ’,488
one - advoc,1
one - work,5
one - commun,1
one - live,3
one - .,82
one - exampl,3
"one - ,",95
one - let,2
one - ’,37
one - highlight,1
exampl - work,2
exampl - commun,1
exampl - live,1
exampl - .,26
exampl - one,3
"exampl - ,",24
exampl - let,6
exampl - ’,15
exampl - highlight,1
exampl - citi,1
", - commun",25
", - live",26
", - .",1184
", - one",95
", - exampl",24
", - let",24
", - ’",636
", - highlight",16
", - citi",6
", - atlanta—wh",1
let - live,1
let - .,28
let - one,2
let - exampl,6
"let - ,",24
let - ’,28
let - highlight,1
let - citi,2
let - atlanta—wh,1
’ - .,488
’ - one,37
’ - exampl,15
"’ - ,",636
’ - let,28
’ - highlight,6
’ - citi,3
’ - atlanta—wh,2
’ - ’,224
’ - next,9
highlight - one,1
highlight - exampl,1
"highlight - ,",16
highlight - let,1
highlight - ’,6
highlight - citi,1
highlight - atlanta—wh,1
highlight - next,1
highlight - week,2
citi - exampl,1
"citi - ,",6
citi - let,2
citi - ’,3
citi - highlight,1
citi - atlanta—wh,1
citi - next,1
citi - week,1
citi - summit,1
"atlanta—wh - ,",1
atlanta—wh - let,1
atlanta—wh - ’,2
atlanta—wh - highlight,1
atlanta—wh - citi,1
atlanta—wh - next,1
atlanta—wh - week,1
atlanta—wh - summit,1
atlanta—wh - sunday,1
’ - week,3
’ - summit,3
’ - sunday,1
next - ’,9
next - highlight,1
next - citi,1
next - atlanta—wh,1
next - week,1
next - summit,2
next - sunday,2
"next - ,",26
next - april,2
week - highlight,2
week - citi,1
week - atlanta—wh,1
week - ’,3
week - next,1
week - summit,1
week - sunday,1
"week - ,",13
week - april,1
week - 14,1
summit - citi,1
summit - atlanta—wh,1
summit - ’,3
summit - next,2
summit - week,1
summit - sunday,3
"summit - ,",14
summit - april,2
summit - 14,2
sunday - atlanta—wh,1
sunday - ’,1
sunday - next,2
sunday - week,1
sunday - summit,3
"sunday - ,",5
sunday - april,2
sunday - 14,2
sunday - start,1
", - next",26
", - week",13
", - summit",14
", - sunday",5
", - april",12
", - 14",6
", - start",53
", - 1:30pm",3
april - next,2
april - week,1
april - summit,2
april - sunday,2
"april - ,",12
april - 14,2
april - start,3
april - 1:30pm,1
14 - week,1
14 - summit,2
14 - sunday,2
"14 - ,",6
14 - april,2
14 - start,1
14 - 1:30pm,1
14 - partnership,1
", - partnership",2
", - emori",5
start - sunday,1
"start - ,",53
start - april,3
start - 14,1
start - 1:30pm,1
start - partnership,1
start - emori,1
start - univ,1
"1:30pm - ,",3
1:30pm - april,1
1:30pm - 14,1
1:30pm - start,1
1:30pm - partnership,1
1:30pm - emori,1
1:30pm - univ,1
1:30pm - spelman,1
", - univ",10
", - spelman",6
", - colleg",7
partnership - 14,1
"partnership - ,",2
partnership - start,1
partnership - 1:30pm,1
partnership - emori,1
partnership - univ,1
partnership - spelman,1
partnership - colleg,1
partnership - consult,1
"emori - ,",5
emori - start,1
emori - 1:30pm,1
emori - partnership,1
emori - univ,3
emori - spelman,1
emori - colleg,1
emori - consult,1
emori - cdc,1
univ - start,1
univ - 1:30pm,1
"univ - ,",10
univ - partnership,1
univ - emori,3
univ - spelman,1
univ - colleg,1
univ - consult,1
univ - cdc,1
univ - foundat,1
spelman - 1:30pm,1
"spelman - ,",6
spelman - partnership,1
spelman - emori,1
spelman - univ,1
spelman - colleg,3
spelman - consult,1
spelman - cdc,1
spelman - foundat,1
"colleg - ,",7
colleg - partnership,1
colleg - emori,1
colleg - univ,1
colleg - spelman,3
colleg - consult,1
colleg - cdc,1
colleg - foundat,1
colleg - support,1
consult - partnership,1
consult - emori,1
consult - univ,1
consult - spelman,1
consult - colleg,1
consult - cdc,1
consult - foundat,1
"consult - ,",9
consult - support,2
consult - biden-harri,1
cdc - emori,1
cdc - univ,1
cdc - spelman,1
cdc - colleg,1
cdc - consult,1
cdc - foundat,2
"cdc - ,",3
cdc - support,1
cdc - biden-harri,1
cdc - administr,1
foundat - univ,1
foundat - spelman,1
foundat - colleg,1
foundat - consult,1
foundat - cdc,2
"foundat - ,",5
foundat - support,1
foundat - biden-harri,1
foundat - administr,1
foundat - nation,2
", - consult",9
", - cdc",3
", - foundat",5
", - support",22
", - biden-harri",2
", - administr",7
", - nation",16
", - strategi",3
support - colleg,1
support - consult,2
support - cdc,1
support - foundat,1
"support - ,",22
support - biden-harri,1
support - administr,1
support - nation,1
support - strategi,1
support - hunger,1
biden-harri - consult,1
biden-harri - cdc,1
biden-harri - foundat,1
"biden-harri - ,",2
biden-harri - support,1
biden-harri - administr,1
biden-harri - nation,1
biden-harri - strategi,1
biden-harri - hunger,1
administr - cdc,1
administr - foundat,1
"administr - ,",7
administr - support,1
administr - biden-harri,1
administr - nation,2
administr - strategi,1
administr - hunger,1
administr - nutrit,1
nation - foundat,2
"nation - ,",16
nation - support,1
nation - biden-harri,1
nation - administr,2
nation - strategi,1
nation - hunger,1
nation - nutrit,1
"strategi - ,",3
strategi - support,1
strategi - biden-harri,1
strategi - administr,1
strategi - nation,1
strategi - hunger,1
strategi - nutrit,1
strategi - health,1
hunger - support,1
hunger - biden-harri,1
hunger - administr,1
hunger - nation,1
hunger - strategi,1
"hunger - ,",3
hunger - nutrit,1
hunger - health,1
hunger - .,1
", - hunger",3
", - nutrit",8
", - health",8
", - plea",4
nutrit - administr,1
nutrit - nation,1
nutrit - strategi,1
nutrit - hunger,1
"nutrit - ,",8
nutrit - health,1
nutrit - .,6
nutrit - plea,1
nutrit - feel,1
", - feel",10
", - free",24
health - strategi,1
health - hunger,1
"health - ,",8
health - nutrit,1
health - plea,1
health - feel,1
health - free,1
health - forward,1
. - hunger,1
. - nutrit,6
. - plea,11
. - feel,10
. - free,12
. - forward,4
. - messag,1
"plea - ,",4
plea - nutrit,1
plea - health,1
plea - .,11
plea - feel,1
plea - free,1
plea - forward,1
plea - messag,1
plea - network,1
feel - nutrit,1
"feel - ,",10
feel - health,1
feel - .,10
feel - plea,1
feel - free,2
feel - forward,1
feel - messag,1
feel - network,1
feel - atlanta,1
"free - ,",24
free - health,1
free - .,12
free - plea,1
free - feel,2
free - forward,1
free - messag,1
free - network,1
free - atlanta,2
free - !,3
forward - health,1
forward - .,4
forward - plea,1
forward - feel,1
forward - free,1
forward - messag,1
forward - network,1
forward - atlanta,1
forward - !,2
forward - ’,2
messag - .,1
messag - plea,1
messag - feel,1
messag - free,1
messag - forward,1
messag - network,1
messag - atlanta,1
messag - !,1
messag - ’,1
messag - unforgett,1
network - plea,1
network - feel,1
network - free,1
network - forward,1
network - messag,1
network - atlanta,1
network - !,1
network - ’,5
network - unforgett,1
network - afternoon,1
atlanta - feel,1
atlanta - free,2
